Title,Date
"Stranger Things: Stranger Things 4: Kapittel seks: Dykket","19.06.2023"
"Stranger Things: Stranger Things 4: Kapittel fem: Prosjekt Nina","19.06.2023"
"Stranger Things: Stranger Things 4: Kapittel fire: Kjære Billy","19.06.2023"
"Stranger Things: Stranger Things 4: Kapittel tre: Monsteret og superhelten","19.06.2023"
"Stranger Things: Stranger Things 4: Kapittel to: Vecnas forbannelse","19.06.2023"
"Stranger Things: Stranger Things 4: Kapittel én: Hellfire-klubben","18.06.2023"
"Stranger Things: Stranger Things 3: Kapittel åtte: Slaget ved Starcourt","18.06.2023"
"Stranger Things: Stranger Things 3: Kapittel sju: Bittet","18.06.2023"
"Stranger Things: Stranger Things 3: Kapittel seks: E pluribus unum","18.06.2023"
"Stranger Things: Stranger Things 3: Kapittel fem: Hjernesugerens armé","18.06.2023"
"Stranger Things: Stranger Things 3: Kapittel fire: Badstuetesten","16.06.2023"
"Stranger Things: Stranger Things 3: Kapittel tre: Badevakten som forsvant","15.06.2023"
"Stranger Things: Stranger Things 3: Kapittel to: Senterrottene","14.06.2023"
"Stranger Things: Stranger Things 3: Kapittel én: Suzie, hører du meg?","14.06.2023"
"Stranger Things: Stranger Things 2: Kapittel ni: Porten","13.06.2023"
"Stranger Things: Stranger Things 2: Kapittel åtte: Hjernesugeren","13.06.2023"
"Stranger Things: Stranger Things 2: Kapittel sju: Den forsvunne søsteren","13.06.2023"
"Stranger Things: Stranger Things 2: Kapittel seks: Spionen","13.06.2023"
"Stranger Things: Stranger Things 2: Kapittel fem: Dig Dug","13.06.2023"
"Formula 1: Drive to Survive: Sesong 1: The Art of War","12.06.2023"
"Lucifer: Sesong 6: My Best Fiend's Wedding","11.06.2023"
"Formula 1: Drive to Survive: Sesong 1: Redemption","11.06.2023"
"Formula 1: Drive to Survive: Sesong 1: The King of Spain","11.06.2023"
"Tour de France: Fra innsiden: Sesong 1: Veien til Paris","11.06.2023"
"Tour de France: Fra innsiden: Sesong 1: Alt for podiet","11.06.2023"
"Lucifer: Sesong 6: A Lot Dirtier Than That","11.06.2023"
"Tour de France: Fra innsiden: Sesong 1: Plan B","11.06.2023"
"Luther: The Fallen Sun","10.06.2023"
"Tour de France: Fra innsiden: Sesong 1: I full fart","10.06.2023"
"Tour de France: Fra innsiden: Sesong 1: Angrep, motangrep","09.06.2023"
"Tour de France: Fra innsiden: Sesong 1: Nasjonens ære","09.06.2023"
"Tour de France: Fra innsiden: Sesong 1: Velkommen til helvete","08.06.2023"
"Tour de France: Fra innsiden: Sesong 1: Grand Départ","08.06.2023"
"Stranger Things: Stranger Things 2: Kapittel fire: Vise Will","08.06.2023"
"Lucifer: Sesong 6: The Murder of Lucifer Morningstar","02.06.2023"
"Stranger Things: Stranger Things 2: Kapittel tre: Rumpetrollet","30.05.2023"
"Stranger Things: Stranger Things 2: Kapittel to: Knask eller knep, misfoster","29.05.2023"
"Stranger Things: Stranger Things 2: Kapittel én: MADMAX","29.05.2023"
"Stranger Things: Opp ned","29.05.2023"
"Lucifer: Sesong 6: Pin the Tail on the Daddy","28.05.2023"
"Lucifer: Sesong 6: Yabba Dabba Do Me","28.05.2023"
"Lucifer: Sesong 6: Buckets of Baggage","28.05.2023"
"Stranger Things: Badekaret","27.05.2023"
"Stranger Things: Monsteret","27.05.2023"
"Stranger Things: Loppen og akrobaten","25.05.2023"
"Stranger Things: Liket","25.05.2023"
"Lucifer: Sesong 6: Nothing Ever Changes Around Here","24.05.2023"
"Stranger Things: Julestemning","24.05.2023"
"Stranger Things: Raringen på Maple Street","23.05.2023"
"Lucifer: Sesong 5: A Chance at a Happy Ending","22.05.2023"
"Lucifer: Sesong 5: Is This Really How It's Going to End?!","22.05.2023"
"Lucifer: Sesong 3: Infernal Guinea Pig","22.05.2023"
"Lucifer: Sesong 5: Nothing Lasts Forever","20.05.2023"
"Lucifer: Sesong 5: A Little Harmless Stalking","19.05.2023"
"Lucifer: Sesong 5: Daniel Espinoza: Naked and Afraid","19.05.2023"
"Lucifer: Sesong 5: Resting Devil Face","19.05.2023"
"Lucifer: Sesong 5: Bloody Celestial Karaoke Jam","18.05.2023"
"Lucifer: Sesong 5: Family Dinner","18.05.2023"
"Lucifer: Sesong 5: Spoiler Alert","14.05.2023"
"Lucifer: Sesong 5: Our Mojo","14.05.2023"
"Lucifer: Sesong 5: BlueBallz","12.05.2023"
"Stranger Things: Will Byers forsvinner","11.05.2023"
"Sex/Life: Sesong 1: New New York","11.05.2023"
"Lucifer: Sesong 5: Detective Amenadiel","07.05.2023"
"Lucifer: Sesong 5: It Never Ends Well for the Chicken","07.05.2023"
"Lucifer: Sesong 5: ¡Diablo!","06.05.2023"
"Lucifer: Sesong 5: Lucifer! Lucifer! Lucifer!","05.05.2023"
"Lucifer: Sesong 5: Really Sad Devil Guy","04.05.2023"
"Lucifer: Sesong 4: Who's da New King of Hell?","03.05.2023"
"Lucifer: Sesong 4: Save Lucifer","03.05.2023"
"Lucifer: Sesong 4: Super Bad Boyfriend","02.05.2023"
"8 Mile","30.04.2023"
"Lucifer: Sesong 4: Devil Is as Devil Does","30.04.2023"
"Lucifer: Sesong 4: Orgy Pants to Work","30.04.2023"
"Lucifer: Sesong 4: Expire Erect","29.04.2023"
"Lucifer: Sesong 4: All About Eve","29.04.2023"
"Lucifer: Sesong 4: O, Ye of Little Faith, Father","28.04.2023"
"The Bourne Ultimatum","28.04.2023"
"The Bourne Supremacy","28.04.2023"
"Lucifer: Sesong 4: Somebody’s Been Reading Dante’s Inferno","24.04.2023"
"Lucifer: Sesong 4: Everything's Okay","24.04.2023"
"Lucifer: Sesong 3: Once Upon a Time","24.04.2023"
"Lucifer: Sesong 3: Boo Normal","24.04.2023"
"Lucifer: Sesong 3: A Devil of My Word","23.04.2023"
"Lucifer: Sesong 3: Quintessential Deckerstar","23.04.2023"
"Lucifer: Sesong 3: All Hands on Decker","23.04.2023"
"Inside Man","23.04.2023"
"Lucifer: Sesong 3: Anything Pierce Can Do I Can Do Better","23.04.2023"
"Lucifer: Sesong 3: The Angel of San Bernardino","23.04.2023"
"Lucifer: Sesong 3: Orange Is the New Maze","23.04.2023"
"Lucifer: Sesong 3: The Last Heartbreak","22.04.2023"
"Lucifer: Sesong 3: Let Pinhead Sing!","22.04.2023"
"Lucifer: Sesong 3: High School Poppycock","21.04.2023"
"Lucifer: Sesong 3: My Brother's Keeper","18.04.2023"
"Lucifer: Sesong 3: 'Til Death Do Us Part","16.04.2023"
"Django Unchained","16.04.2023"
"Lucifer: Sesong 3: All About Her","16.04.2023"
"Lucifer: Sesong 3: Mr. and Mrs. Mazikeen Smith","15.04.2023"
"Lucifer: Sesong 3: City of Angels?","15.04.2023"
"Lucifer: Sesong 3: The Sin Bin","15.04.2023"
"Lucifer: Sesong 3: The Sinnerman","15.04.2023"
"Lucifer: Sesong 3: Chloe Does Lucifer","14.04.2023"
"Lucifer: Sesong 3: Off the Record","14.04.2023"
"Lucifer: Sesong 3: Vegas with Some Radish","14.04.2023"
"Lucifer: Sesong 3: Welcome Back, Charlotte Richards","14.04.2023"
"The Hunger Games: Mockingjay - Part 2","11.04.2023"
"Lucifer: Sesong 3: What Would Lucifer Do?","10.04.2023"
"The Hunger Games: Mockingjay - Part 1","10.04.2023"
"Lucifer: Sesong 3: The One with the Baby Carrot","09.04.2023"
"The Hunger Games: Catching Fire","09.04.2023"
"Lucifer: Sesong 3: They're Back, Aren't They?","09.04.2023"
"Lucifer: Sesong 2: The Good, The Bad and The Crispy","09.04.2023"
"Lucifer: Sesong 2: Sympathy for the Goddess","09.04.2023"
"Lucifer: Sesong 2: God Johnson","09.04.2023"
"Lucifer: Sesong 2: Deceptive Little Parasite","09.04.2023"
"Lucifer: Sesong 2: Candy Morningstar","09.04.2023"
"The Hunger Games","08.04.2023"
"Lucifer: Sesong 2: A Good Day to Die","07.04.2023"
"Lucifer: Sesong 2: Love Handles","07.04.2023"
"Lucifer: Sesong 2: Stewardess Interruptus","07.04.2023"
"Lucifer: Sesong 2: Quid Pro Ho","06.04.2023"
"Lucifer: Sesong 2: Homewrecker","06.04.2023"
"Schumacher","06.04.2023"
"Lucifer: Sesong 2: Trip to Stabby Town","05.04.2023"
"Lucifer: Sesong 2: My Little Monkey","05.04.2023"
"Lucifer: Sesong 2: Monster","05.04.2023"
"Lucifer: Sesong 2: The Weaponizer","03.04.2023"
"Lucifer: Sesong 2: Lady Parts","03.04.2023"
"Lucifer: Sesong 2: Sin-Eater","03.04.2023"
"Lucifer: Sesong 2: Liar, Liar, Slutty Dress on Fire","02.04.2023"
"Lucifer: Sesong 2: Everything's Coming Up Lucifer","02.04.2023"
"Lucifer: Sesong 1: Take Me Back to Hell","02.04.2023"
"You: Sesong 4: Eat the Rich","02.04.2023"
"Lucifer: Sesong 1: #TeamLucifer","02.04.2023"
"Lucifer: Sesong 1: St. Lucifer","02.04.2023"
"You: Sesong 4: Portrait of the Artist","02.04.2023"
"Lucifer: Sesong 1: Pops","01.04.2023"
"Lucifer: Sesong 1: A Priest Walks into a Bar","01.04.2023"
"Lucifer: Sesong 1: Et Tu, Doctor?","01.04.2023"
"Lucifer: Sesong 1: Wingman","01.04.2023"
"Lucifer: Sesong 1: Favorite Son","01.04.2023"
"Lucifer: Sesong 1: Sweet Kicks","01.04.2023"
"Lucifer: Sesong 1: Manly Whatnots","01.04.2023"
"Lucifer: Sesong 1: The Would-Be Prince of Darkness","01.04.2023"
"Lucifer: Sesong 1: Lucifer, Stay. Good Devil.","31.03.2023"
"Lucifer: Sesong 1: Pilotepisode","31.03.2023"
"The Good Nurse","28.03.2023"
"Sex/Life: Sesong 1: Empire State of Mind","23.03.2023"
"Sex/Life: Sesong 1: Down in the Tube Station at Midnight","22.03.2023"
"Sex/Life: Sesong 1: The Wives Are in Connecticut","21.03.2023"
"The Sons of Sam: Ned i mørket: Miniserie: Catch .44","21.03.2023"
"The Sons of Sam: Ned i mørket: Miniserie: Kaninhull","20.03.2023"
"The Sons of Sam: Ned i mørket: Miniserie: Ultimate Evil","20.03.2023"
"The Sons of Sam: Ned i mørket: Miniserie: Hallo fra rennesteinen","19.03.2023"
"Murdaugh-drapene: En sørstatsskandale: Sesong 1: Hvor er Mallory?","19.03.2023"
"Sex Education: Sesong 2: Episode 3","15.03.2023"
"Sex Education: Sesong 2: Episode 2","15.03.2023"
"MH370: Flyet som forsvant: Miniserie: Avskjæringen","14.03.2023"
"MH370: Flyet som forsvant: Miniserie: Kapringen","14.03.2023"
"MH370: Flyet som forsvant: Miniserie: Piloten","14.03.2023"
"Sex Education: Sesong 2: Episode 1","14.03.2023"
"Sex Education: Sesong 1: Episode 8","13.03.2023"
"Sex Education: Sesong 1: Episode 7","13.03.2023"
"Sex Education: Sesong 1: Episode 6","12.03.2023"
"Sex Education: Sesong 1: Episode 3","12.03.2023"
"Sex Education: Sesong 1: Episode 5","12.03.2023"
"Sex Education: Sesong 1: Episode 4","12.03.2023"
"American Made","12.03.2023"
"Sex Education: Sesong 1: Episode 2","12.03.2023"
"Sex Education: Sesong 1: Episode 1","12.03.2023"
"Friends with Benefits","28.02.2023"
"Formula 1: Drive to Survive: Sesong 5: Over The Limit","27.02.2023"
"Formula 1: Drive to Survive: Sesong 5: Alpha Male","26.02.2023"
"Formula 1: Drive to Survive: Sesong 5: Hot Seat","26.02.2023"
"Formula 1: Drive to Survive: Sesong 5: Nice Guys Finish Last","26.02.2023"
"Formula 1: Drive to Survive: Sesong 5: Pardon My French","26.02.2023"
"Formula 1: Drive to Survive: Sesong 5: Like Father, Like Son?","26.02.2023"
"Formula 1: Drive to Survive: Sesong 5: Matter of Principal","24.02.2023"
"Formula 1: Drive to Survive: Sesong 5: Bounce Back","24.02.2023"
"Formula 1: Drive to Survive: Sesong 5: The New Dawn","24.02.2023"
"Outer Banks: Sesong 1: The Lucky Compass","24.02.2023"
"You: Sesong 4: Joe Takes a Holiday","22.02.2023"
"Strategisk kjærlighet","19.02.2023"
"Jurassic World","18.02.2023"
"Legend","16.02.2023"
"The Yorkshire Ripper: Miniserie: Ut av skyggen","09.02.2023"
"The Yorkshire Ripper: Miniserie: Ta natten tilbake","07.02.2023"
"The Yorkshire Ripper: Miniserie: Fra nå til daggry","06.02.2023"
"The Yorkshire Ripper: Miniserie: Det var en gang i Yorkshire","05.02.2023"
"Peaky Blinders: Sesong 6: Lock and Key","05.02.2023"
"Peaky Blinders: Sesong 6: The Road to Hell","05.02.2023"
"Peaky Blinders: Sesong 6: Sapphire","05.02.2023"
"Peaky Blinders: Sesong 6: Gold","05.02.2023"
"Peaky Blinders: Sesong 6: Black Shirt","03.02.2023"
"Peaky Blinders: Sesong 6: Black Day","01.02.2023"
"Peaky Blinders: Sesong 5: Mr Jones","01.02.2023"
"Peaky Blinders: Sesong 5: The Shock","01.02.2023"
"Peaky Blinders: Sesong 5: The Loop","01.02.2023"
"Anne Frank, min bestevenninne","31.01.2023"
"Peaky Blinders: Sesong 5: Strategy","31.01.2023"
"Peaky Blinders: Sesong 5: Black Cats","30.01.2023"
"Peaky Blinders: Sesong 5: Black Tuesday","30.01.2023"
"Peaky Blinders: Sesong 4: The Company","29.01.2023"
"Peaky Blinders: Sesong 4: The Duel","27.01.2023"
"Peaky Blinders: Sesong 3: Episode 5","27.01.2023"
"Peaky Blinders: Sesong 4: Dangerous","26.01.2023"
"Peaky Blinders: Sesong 4: Blackbird","26.01.2023"
"Peaky Blinders: Sesong 4: The Noose","26.01.2023"
"Peaky Blinders: Sesong 4: Heathens","25.01.2023"
"Dragetreneren 2","22.01.2023"
"Dragetreneren","20.01.2023"
"Transformers","20.01.2023"
"Peaky Blinders: Sesong 3: Episode 1","19.01.2023"
"Peaky Blinders: Sesong 3: Episode 3","19.01.2023"
"Peaky Blinders: Sesong 3: Episode 6","19.01.2023"
"Peaky Blinders: Sesong 3: Episode 4","18.01.2023"
"Peaky Blinders: Sesong 3: Episode 2","17.01.2023"
"Peaky Blinders: Sesong 2: Episode 6","16.01.2023"
"Peaky Blinders: Sesong 2: Episode 5","16.01.2023"
"Peaky Blinders: Sesong 2: Episode 4","16.01.2023"
"Peaky Blinders: Sesong 2: Episode 3","15.01.2023"
"Peaky Blinders: Sesong 2: Episode 2","15.01.2023"
"Peaky Blinders: Sesong 2: Episode 1","15.01.2023"
"Peaky Blinders: Sesong 1: Episode 6","14.01.2023"
"Peaky Blinders: Sesong 1: Episode 5","13.01.2023"
"Peaky Blinders: Sesong 1: Episode 4","13.01.2023"
"Peaky Blinders: Sesong 1: Episode 3","12.01.2023"
"Peaky Blinders: Sesong 1: Episode 2","12.01.2023"
"Peaky Blinders: Sesong 1: Episode 1","12.01.2023"
"The Pale Blue Eye","12.01.2023"
"Cast Away","02.01.2023"
"Fangio – Mannen som temmet maskinene","01.01.2023"
"High Score: Videospillenes gullalder: Miniserie: Neste nivå","31.12.2022"
"High Score: Videospillenes gullalder: Miniserie: Kamp!","30.12.2022"
"High Score: Videospillenes gullalder: Miniserie: Konsollkrig","30.12.2022"
"High Score: Videospillenes gullalder: Miniserie: Rollespillere","30.12.2022"
"High Score: Videospillenes gullalder: Miniserie: Comeback kid","30.12.2022"
"High Score: Videospillenes gullalder: Miniserie: Videospillboomen","28.12.2022"
"The Saturn V Story","28.12.2022"
"Vulkanen: Utbruddet på Whakaari","28.12.2022"
"","28.12.2022"
"Ikke ta telefonen: Miniserie: Episode 1","28.12.2022"
"Solan og Ludvig: Herfra til Flåklypa","26.12.2022"
"Solan og Ludvig: Jul i Flåklypa","26.12.2022"
"1899: Sesong 1: Nøkkelen","02.12.2022"
"1899: Sesong 1: Stormen","02.12.2022"
"1899: Sesong 1: Pyramiden","01.12.2022"
"1899: Sesong 1: Kallet","27.11.2022"
"1899: Sesong 1: Kampen","27.11.2022"
"1899: Sesong 1: Tåken","27.11.2022"
"1899: Sesong 1: Gutten","27.11.2022"
"1899: Sesong 1: Skipet","27.11.2022"
"The Playlist: Miniserie: The Partner","17.11.2022"
"The Playlist: Miniserie: The Coder","15.11.2022"
"The Playlist: Miniserie: The Law","15.11.2022"
"The Playlist: Miniserie: The Industry","15.11.2022"
"The Playlist: Miniserie: The Vision","14.11.2022"
"Sannheten om FIFA: Miniserie: Episode 1","11.11.2022"
"Enola Holmes 2","06.11.2022"
"2. verdenskrig i farger: Veien mot seier: Sesong 1: Dunkerque","06.11.2022"
"Intet nytt fra vestfronten","30.10.2022"
"Into the Deep","27.10.2022"
"21","19.10.2022"
"The Social Network","14.10.2022"
"The Devil Next Door: Miniserie: The Devil Lives in Cleveland","05.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Tilgivelse eller hevn","04.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Hjemsøkt","04.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Lionel","03.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Kassandra","03.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Taushet","03.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Blod på hendene","03.10.2022"
"Formula 1: Drive to Survive: Sesong 4: Tipping Point","03.10.2022"
"Formula 1: Drive to Survive: Sesong 4: Ace in the Hole","03.10.2022"
"Gilmore Girls: Sesong 5: How Many Kropogs to Cape Cod?","03.10.2022"
"Gilmore Girls: Sesong 5: But I'm a Gilmore","03.10.2022"
"Formula 1: Drive to Survive: Sesong 4: Clash of the Titans","02.10.2022"
"Gilmore Girls: Sesong 5: To Live and Let Diorama","02.10.2022"
"Gilmore Girls: Sesong 5: Pulp Friction","02.10.2022"
"Gilmore Girls: Sesong 5: So...Good Talk","02.10.2022"
"Gilmore Girls: Sesong 5: Jews and Chinese Food","02.10.2022"
"Gilmore Girls: Sesong 5: Say Something","02.10.2022"
"Gilmore Girls: Sesong 5: Wedding Bell Blues","02.10.2022"
"Gilmore Girls: Sesong 5: Come Home","02.10.2022"
"Gilmore Girls: Sesong 5: Women of Questionable Morals","02.10.2022"
"Gilmore Girls: Sesong 5: But Not As Cute As Pushkin","02.10.2022"
"Gilmore Girls: Sesong 5: Emily Says 'Hello'","02.10.2022"
"Gilmore Girls: Sesong 5: The Party's Over","02.10.2022"
"Gilmore Girls: Sesong 5: You Jump, I Jump, Jack","02.10.2022"
"Gilmore Girls: Sesong 5: Norman Mailer, I'm Pregnant","02.10.2022"
"Gilmore Girls: Sesong 5: We Got Us a Pippi Virgin","02.10.2022"
"Gilmore Girls: Sesong 5: Tippecanoe and Taylor, Too","02.10.2022"
"Gilmore Girls: Sesong 5: Written in the Stars","02.10.2022"
"Gilmore Girls: Sesong 1: That Damn Donna Reed","02.10.2022"
"Gilmore Girls: Sesong 1: Concert Interruptus","02.10.2022"
"Gilmore Girls: Sesong 1: Double Date","02.10.2022"
"Gilmore Girls: Sesong 1: Paris is Burning","02.10.2022"
"Gilmore Girls: Sesong 1: Forgiveness and Stuff","02.10.2022"
"Gilmore Girls: Sesong 1: Rory's Dance","02.10.2022"
"Gilmore Girls: Sesong 1: Love & War & Snow","02.10.2022"
"Gilmore Girls: Sesong 1: Kiss and Tell","02.10.2022"
"Gilmore Girls: Sesong 1: Rory's Birthday Parties","02.10.2022"
"Gilmore Girls: Sesong 1: Cinnamon's Wake","02.10.2022"
"Gilmore Girls: Sesong 1: The Deer Hunters","02.10.2022"
"Gilmore Girls: Sesong 1: Kill Me Now","02.10.2022"
"Gilmore Girls: Sesong 1: The Lorelais' First Day at Chilton","02.10.2022"
"Gilmore Girls: Sesong 1: Pilotepisode","02.10.2022"
"After We Collided","02.10.2022"
"Gilmore Girls: Sesong 5: Blame Booze and Melville","02.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Boksen","01.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Gjøre en Dahmer","01.10.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Please Don't Go","30.09.2022"
"Dahmer: Monster: Historien om Jeffrey Dahmer: Episode én","30.09.2022"
"Fight Club","25.09.2022"
"Freud: Sesong 1: Hysteri","24.09.2022"
"Don't Look Up","17.09.2022"
"Ronnie Coleman: The King","16.09.2022"
"Challenger: Den siste reisen: Miniserie: Det ender ikke her","14.09.2022"
"Challenger: Den siste reisen: Miniserie: En stor feil","13.09.2022"
"Challenger: Den siste reisen: Miniserie: HJELP!","13.09.2022"
"Challenger: Den siste reisen: Miniserie: Verdensrommet er for alle","13.09.2022"
"Apollo Astronauts: Training Nasa's Moon Men","12.09.2022"
"Transformers: The Last Knight","09.09.2022"
"Transformers: Age of Extinction","08.09.2022"
"Regnmakeren","03.09.2022"
"Transformers: De beseirede slår tilbake","02.09.2022"
"Running with the Devil: The Wild World of John McAfee","28.08.2022"
"Katastrofalt: Woodstock '99: Hvordan i all verden kunne dette skje?","21.08.2022"
"Breaking Bad: Sesong 5: Felina","20.08.2022"
"Breaking Bad: Sesong 5: Granite State","20.08.2022"
"Breaking Bad: Sesong 5: Ozymandias","20.08.2022"
"Breaking Bad: Sesong 5: To'hajiilee","19.08.2022"
"Breaking Bad: Sesong 5: Rabid Dog","18.08.2022"
"Sandman: Sesong 1: De rettferdiges søvn","15.08.2022"
"Breaking Bad: Sesong 5: Confessions","13.08.2022"
"Breaking Bad: Sesong 5: Buried","11.08.2022"
"Breaking Bad: Sesong 5: Blood Money","11.08.2022"
"Breaking Bad: Sesong 5: Gliding Over All","11.08.2022"
"Breaking Bad: Sesong 5: Say My Name","11.08.2022"
